Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating,Company_Type,Release_Era,Is_Successful,Sales_Category,NA_Sales_Pct,EU_Sales_Pct,JP_Sales_Pct,Other_Sales_Pct
Halo 3,X360,2007.0,Shooter,Microsoft Game Studios,7.97,2.81,0.13,1.21,12.12,94.0,86.0,7.8,4100.0,"Bungie Software, Bungie",M,AAA,2000s,True,blockbuster,65.75907590759076,23.184818481848186,1.0726072607260728,9.983498349834983
Super Mario 64,N64,1996.0,Platform,Nintendo,6.91,2.85,1.91,0.23,11.89,69.5,,,,,,AAA,1990s,True,blockbuster,58.11606391925989,23.969722455845247,16.063919259882255,1.9343986543313711
Pokemon HeartGold/Pokemon SoulSilver,DS,2009.0,Action,Nintendo,4.34,2.71,3.96,0.76,11.77,58.0,,,,,,AAA,2000s,True,blockbuster,36.87340696686491,23.02463891248938,33.64485981308411,6.457094307561598
Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,2014.0,Role-Playing,Nintendo,4.35,3.49,3.1,0.74,11.68,74.0,,,,,,AAA,2010s,True,blockbuster,37.2431506849315,29.88013698630137,26.541095890410958,6.335616438356165
Gran Turismo 4,PS2,2004.0,Racing,Sony Computer Entertainment,3.01,0.01,1.1,7.53,11.66,89.0,74.0,8.5,272.0,Polyphony Digital,E,AAA,2000s,True,blockbuster,25.8147512864494,0.08576329331046312,9.433962264150944,64.57975986277873
Super Mario Galaxy,Wii,2007.0,Platform,Nintendo,6.06,3.35,1.2,0.74,11.35,97.0,73.0,8.9,2147.0,Nintendo,E,AAA,2000s,True,blockbuster,53.3920704845815,29.515418502202646,10.572687224669604,6.5198237885462555
Super Mario Land 2: 6 Golden Coins,GB,1992.0,Adventure,Nintendo,6.16,2.04,2.69,0.29,11.18,69.5,,,,,,AAA,1990s,True,blockbuster,55.098389982110916,18.246869409660107,24.0608228980322,2.59391771019678
Grand Theft Auto IV,X360,2008.0,Action,Take-Two Interactive,6.76,3.07,0.14,1.03,11.01,98.0,86.0,7.9,2951.0,Rockstar North,M,AAA,2000s,True,blockbuster,61.398728428701176,27.883742052679384,1.2715712988192553,9.35513169845595
Gran Turismo,PS,1997.0,Racing,Sony Computer Entertainment,4.02,3.87,2.54,0.52,10.95,96.0,16.0,8.7,138.0,Polyphony Digital,E,AAA,1990s,True,blockbuster,36.71232876712329,35.34246575342466,23.19634703196347,4.748858447488584
Super Mario 3D Land,3DS,2011.0,Platform,Nintendo,4.89,3.0,2.14,0.78,10.81,90.0,82.0,8.4,921.0,Nintendo,E,AAA,2010s,True,blockbuster,45.23589269195189,27.752081406105454,19.79648473635523,7.215541165587419
Gran Turismo 5,PS3,2010.0,Racing,Sony Computer Entertainment,2.96,4.82,0.81,2.11,10.7,84.0,82.0,7.5,1112.0,Polyphony Digital,E,AAA,2010s,True,blockbuster,27.663551401869164,45.04672897196262,7.570093457943925,19.7196261682243
Call of Duty: Modern Warfare 2,PS3,2009.0,Shooter,Activision,4.99,3.64,0.38,1.6,10.6,94.0,67.0,6.3,2073.0,Infinity Ward,M,AAA,2000s,True,blockbuster,47.07547169811321,34.339622641509436,3.5849056603773586,15.094339622641511
Super Mario All-Stars,SNES,1993.0,Platform,Nintendo,5.99,2.15,2.12,0.29,10.55,69.5,,,,,,AAA,1990s,True,blockbuster,56.77725118483412,20.379146919431275,20.09478672985782,2.7488151658767768
Grand Theft Auto IV,PS3,2008.0,Action,Take-Two Interactive,4.76,3.69,0.44,1.61,10.5,98.0,64.0,7.5,2833.0,Rockstar North,M,AAA,2000s,True,blockbuster,45.33333333333333,35.14285714285714,4.190476190476191,15.333333333333336
Pokemon FireRed/Pokemon LeafGreen,GBA,2004.0,Role-Playing,Nintendo,4.34,2.65,3.15,0.35,10.49,76.0,,,,,,AAA,2000s,True,blockbuster,41.372735938989514,25.26215443279313,30.028598665395613,3.336510962821735
Super Mario 64,DS,2004.0,Platform,Nintendo,5.01,3.07,1.25,0.97,10.3,70.0,,,,,,AAA,2000s,True,blockbuster,48.64077669902912,29.80582524271844,12.135922330097086,9.417475728155338
Call of Duty: Ghosts,X360,2013.0,Shooter,Activision,6.73,2.56,0.04,0.91,10.25,73.0,29.0,2.6,2117.0,Infinity Ward,M,AAA,2010s,True,blockbuster,65.65853658536585,24.975609756097562,0.3902439024390244,8.878048780487806
Just Dance 3,Wii,2011.0,Misc,Ubisoft,5.95,3.11,0.0,1.06,10.12,74.0,15.0,7.8,16.0,Ubisoft,E10+,AAA,2010s,True,blockbuster,58.79446640316206,30.731225296442688,0.0,10.47430830039526
New Super Mario Bros. 2,3DS,2012.0,Platform,Nintendo,3.66,3.14,2.47,0.63,9.9,78.0,70.0,7.2,424.0,Nintendo,E,AAA,2010s,True,hit,36.96969696969697,31.717171717171716,24.94949494949495,6.363636363636363
Mario Kart 64,N64,1996.0,Racing,Nintendo,5.55,1.94,2.23,0.15,9.87,69.5,,,,,,AAA,1990s,True,hit,56.23100303951368,19.65552178318136,22.593718338399192,1.5197568389057752
Halo: Reach,X360,2010.0,Shooter,Microsoft Game Studios,7.04,1.95,0.08,0.79,9.86,91.0,99.0,7.9,2045.0,Bungie,M,AAA,2010s,True,hit,71.39959432048681,19.77687626774848,0.8113590263691683,8.012170385395539
Final Fantasy VII,PS,1997.0,Role-Playing,Sony Computer Entertainment,3.01,2.47,3.28,0.96,9.72,92.0,20.0,9.2,1282.0,SquareSoft,T,AAA,1990s,True,hit,30.967078189300405,25.411522633744855,33.74485596707819,9.876543209876543
Halo 4,X360,2012.0,Shooter,Microsoft Game Studios,6.65,2.28,0.04,0.74,9.71,87.0,87.0,7,3260.0,343 Industries,M,AAA,2010s,True,hit,68.48609680741504,23.48094747682801,0.4119464469618949,7.621009268795056
Gran Turismo 2,PS,1999.0,Racing,Sony Computer Entertainment,3.88,3.42,1.69,0.5,9.49,93.0,23.0,9,135.0,Polyphony Digital,T,AAA,1990s,True,hit,40.88514225500527,36.03793466807165,17.80821917808219,5.268703898840886
Just Dance 2,Wii,2010.0,Misc,Ubisoft,5.8,2.85,0.01,0.78,9.44,74.0,24.0,7.3,24.0,Ubisoft,E10+,AAA,2010s,True,hit,61.440677966101696,30.1906779661017,0.1059322033898305,8.26271186440678
Call of Duty: Ghosts,PS3,2013.0,Shooter,Activision,4.1,3.63,0.38,1.25,9.36,71.0,10.0,2.6,1047.0,Infinity Ward,M,AAA,2010s,True,hit,43.8034188034188,38.782051282051285,4.05982905982906,13.354700854700855
Call of Duty 4: Modern Warfare,X360,2007.0,Shooter,Activision,5.93,2.36,0.13,0.9,9.31,94.0,70.0,8.4,1320.0,Infinity Ward,M,AAA,2000s,True,hit,63.69495166487648,25.349087003222337,1.3963480128893662,9.667024704618688
Donkey Kong Country,SNES,1994.0,Platform,Nintendo,4.36,1.71,3.0,0.23,9.3,69.5,,,,,,AAA,1990s,True,hit,46.88172043010753,18.387096774193544,32.25806451612903,2.4731182795698925
Minecraft,X360,2013.0,Misc,Microsoft Game Studios,5.7,2.65,0.02,0.81,9.18,70.0,,,,,,AAA,2010s,True,hit,62.091503267973856,28.86710239651416,0.2178649237472767,8.823529411764707
Animal Crossing: New Leaf,3DS,2012.0,Simulation,Nintendo,2.03,2.36,4.39,0.39,9.16,88.0,70.0,8.7,626.0,Nintendo,E,AAA,2010s,True,hit,22.16157205240174,25.76419213973799,47.92576419213974,4.25764192139738
Mario Party DS,DS,2007.0,Misc,Nintendo,4.4,1.85,1.98,0.68,8.91,72.0,27.0,7.8,85.0,Hudson Soft,E,AAA,2000s,True,hit,49.38271604938272,20.763187429854096,22.22222222222222,7.631874298540965
The Elder Scrolls V: Skyrim,X360,2011.0,Role-Playing,Bethesda Softworks,5.05,2.79,0.1,0.85,8.79,96.0,89.0,8.4,3589.0,Bethesda Game Studios,M,Indie/Other,2010s,True,hit,57.45164960182025,31.740614334470997,1.137656427758817,9.670079635949943
Super Mario Kart,SNES,1992.0,Racing,Nintendo,3.54,1.24,3.81,0.18,8.76,69.5,,,,,,AAA,1990s,True,hit,40.41095890410959,14.15525114155251,43.49315068493151,2.054794520547945
FIFA 16,PS4,2015.0,Sports,Electronic Arts,1.12,6.12,0.06,1.28,8.57,82.0,42.0,4.3,896.0,EA Sports,E,AAA,2010s,True,hit,13.068844807467912,71.41190198366394,0.7001166861143523,14.935822637106183
Halo 2,XB,2004.0,Shooter,Microsoft Game Studios,6.82,1.53,0.05,0.08,8.49,95.0,91.0,8.2,1218.0,Bungie Software,M,AAA,2000s,True,hit,80.32979976442874,18.021201413427562,0.5889281507656066,0.9422850412249705
Wii Party,Wii,2010.0,Misc,Nintendo,1.75,3.47,2.49,0.67,8.38,68.0,42.0,7.4,54.0,Nd Cube,E,AAA,2010s,True,hit,20.88305489260143,41.408114558472555,29.713603818615752,7.995226730310262
Mario Party 8,Wii,2007.0,Misc,Nintendo,3.74,2.24,1.58,0.7,8.27,62.0,41.0,6.3,190.0,Hudson,E,AAA,2000s,True,hit,45.22370012091899,27.085852478839183,19.105199516324063,8.464328899637243
FIFA Soccer 13,PS3,2012.0,Action,Electronic Arts,1.06,5.01,0.13,1.97,8.16,88.0,37.0,6.6,348.0,Electronic Arts,E,AAA,2010s,True,hit,12.990196078431374,61.397058823529406,1.5931372549019607,24.142156862745097
GoldenEye 007,N64,1997.0,Shooter,Nintendo,5.8,2.01,0.13,0.15,8.09,69.5,,,,,,AAA,1990s,True,hit,71.69344870210136,24.845488257107537,1.6069221260815822,1.8541409147095178
Pokemon Black 2/Pokemon White 2,DS,2012.0,Role-Playing,Nintendo,2.79,1.72,3.14,0.41,8.07,70.0,,,,,,AAA,2010s,True,hit,34.572490706319705,21.313506815365553,38.90954151177199,5.080545229244113
Final Fantasy X,PS2,2001.0,Role-Playing,Sony Computer Entertainment,2.91,2.07,2.73,0.33,8.05,92.0,53.0,8.7,1056.0,SquareSoft,T,AAA,2000s,True,hit,36.149068322981364,25.71428571428571,33.91304347826087,4.099378881987578
The Sims 3,PC,2009.0,Simulation,Electronic Arts,0.99,6.42,0.0,0.6,8.01,86.0,75.0,7.6,886.0,The Sims Studio,T,AAA,2000s,True,hit,12.359550561797752,80.14981273408239,0.0,7.490636704119851
Mario & Sonic at the Olympic Games,Wii,2007.0,Sports,Sega,2.57,3.86,0.66,0.91,7.99,66.0,,,,,,AAA,2000s,True,hit,32.165206508135164,48.310387984981226,8.260325406758447,11.389236545682103
Star Wars Battlefront (2015),PS4,2015.0,Shooter,Electronic Arts,2.99,3.49,0.22,1.28,7.98,76.0,,,,,,AAA,2010s,True,hit,37.468671679197996,43.734335839599,2.756892230576441,16.040100250626566
Final Fantasy VIII,PS,1999.0,Role-Playing,SquareSoft,2.28,1.72,3.63,0.23,7.86,90.0,24.0,8.6,644.0,SquareSoft,T,Indie/Other,1990s,True,hit,29.00763358778626,21.88295165394402,46.18320610687023,2.926208651399491
Pac-Man,2600,1982.0,Puzzle,Atari,7.28,0.45,0.0,0.08,7.81,69.5,,,,,,Indie/Other,1980s,True,hit,93.21382842509604,5.761843790012804,0.0,1.0243277848911654
Pokémon Platinum Version,DS,2008.0,Role-Playing,Nintendo,2.76,1.72,2.69,0.54,7.72,83.0,46.0,8.5,203.0,Game Freak,E,AAA,2000s,True,hit,35.751295336787564,22.27979274611399,34.84455958549223,6.994818652849742
Grand Theft Auto: Liberty City Stories,PSP,2005.0,Action,Take-Two Interactive,2.9,2.81,0.24,1.73,7.69,88.0,65.0,7.6,451.0,Rockstar Leeds,M,AAA,2000s,True,hit,37.711313394018205,36.54096228868661,3.120936280884265,22.49674902470741
Call of Duty: Advanced Warfare,PS4,2014.0,Shooter,Activision,2.81,3.48,0.14,1.23,7.66,83.0,39.0,5.7,1443.0,Sledgehammer Games,M,AAA,2010s,True,hit,36.684073107049606,45.43080939947781,1.8276762402088773,16.057441253263708
The Legend of Zelda: Ocarina of Time,N64,1998.0,Action,Nintendo,4.1,1.89,1.45,0.16,7.6,69.5,,,,,,AAA,1990s,True,hit,53.94736842105263,24.86842105263158,19.078947368421055,2.105263157894737
FIFA 17,PS4,2016.0,Sports,Electronic Arts,0.66,5.75,0.08,1.11,7.59,85.0,41.0,5,398.0,"EA Sports, EA Vancouver",E,AAA,2010s,True,hit,8.695652173913045,75.75757575757575,1.0540184453227932,14.624505928853756
Crash Bandicoot 2: Cortex Strikes Back,PS,1997.0,Platform,Sony Computer Entertainment,3.78,2.17,1.31,0.31,7.58,72.5,,,,,,AAA,1990s,True,hit,49.86807387862797,28.62796833773087,17.282321899736147,4.089709762532982
Super Smash Bros. for Wii U and 3DS,3DS,2014.0,Fighting,Nintendo,3.27,1.37,2.43,0.48,7.55,64.0,,,,,,AAA,2010s,True,hit,43.3112582781457,18.145695364238414,32.18543046357617,6.357615894039735
Super Mario Galaxy 2,Wii,2010.0,Platform,Nintendo,3.56,2.35,0.98,0.62,7.51,97.0,87.0,9.1,1854.0,Nintendo EAD Tokyo,E,AAA,2010s,True,hit,47.4034620505992,31.291611185086555,13.049267643142477,8.255659121171771
Super Mario Bros. 2,NES,1988.0,Platform,Nintendo,5.39,1.18,0.7,0.19,7.46,69.5,,,,,,AAA,1980s,True,hit,72.25201072386058,15.81769436997319,9.383378016085791,2.546916890080429
Call of Duty: Black Ops 3,XOne,2015.0,Shooter,Activision,4.59,2.11,0.01,0.68,7.39,80.0,,,,,,AAA,2010s,True,hit,62.11096075778079,28.55209742895805,0.13531799729364005,9.201623815967524
Call of Duty: World at War,X360,2008.0,Shooter,Activision,4.81,1.88,0.0,0.69,7.38,84.0,84.0,7.6,580.0,Treyarch,M,AAA,2000s,True,hit,65.17615176151762,25.474254742547426,0.0,9.34959349593496
Battlefield 3,X360,2011.0,Shooter,Electronic Arts,4.46,2.11,0.06,0.69,7.32,84.0,57.0,7.4,2142.0,EA DICE,M,AAA,2010s,True,hit,60.92896174863388,28.825136612021858,0.8196721311475409,9.426229508196721
Need for Speed Underground,PS2,2003.0,Racing,Electronic Arts,3.27,2.83,0.08,1.02,7.2,85.0,33.0,8.6,171.0,EA Black Box,E,AAA,2000s,True,hit,45.416666666666664,39.30555555555556,1.1111111111111112,14.166666666666666
Just Dance,Wii,2009.0,Misc,Ubisoft,3.48,2.99,0.0,0.73,7.2,49.0,21.0,8,110.0,Ubisoft Paris,E10+,AAA,2000s,True,hit,48.333333333333336,41.52777777777778,0.0,10.13888888888889
Battlefield 3,PS3,2011.0,Shooter,Electronic Arts,2.85,2.89,0.35,1.08,7.17,85.0,38.0,7.5,1761.0,EA DICE,M,AAA,2010s,True,hit,39.7489539748954,40.306834030683405,4.881450488145048,15.062761506276152
Fallout 4,PS4,2015.0,Role-Playing,Bethesda Softworks,2.53,3.27,0.24,1.13,7.16,87.0,58.0,6.5,4228.0,Bethesda Game Studios,M,Indie/Other,2010s,True,hit,35.33519553072625,45.67039106145251,3.35195530726257,15.782122905027931
Tekken 3,PS,1998.0,Fighting,Sony Computer Entertainment,3.27,2.22,1.4,0.29,7.16,96.0,15.0,9.1,367.0,Namco,T,AAA,1990s,True,hit,45.67039106145251,31.005586592178773,19.553072625698324,4.050279329608938
The Legend of Zelda: Twilight Princess,Wii,2006.0,Action,Nintendo,3.74,2.14,0.6,0.68,7.15,95.0,73.0,9,1658.0,Nintendo,T,AAA,2000s,True,hit,52.307692307692314,29.93006993006993,8.39160839160839,9.51048951048951
Pokemon Sun/Moon,3DS,2016.0,Role-Playing,Nintendo,2.98,1.45,2.26,0.45,7.14,74.0,,,,,,AAA,2010s,True,hit,41.73669467787115,20.30812324929972,31.652661064425768,6.302521008403361
Crash Bandicoot 3: Warped,PS,1998.0,Platform,Sony Computer Entertainment,3.68,1.75,1.42,0.28,7.13,91.0,12.0,8.9,432.0,Naughty Dog,E,AAA,1990s,True,hit,51.61290322580645,24.544179523141654,19.91584852734923,3.9270687237026656
Mario Kart 8,WiiU,2014.0,Racing,Nintendo,3.15,2.15,1.28,0.51,7.09,88.0,82.0,9.1,1599.0,Nintendo,E,AAA,2010s,True,hit,44.42877291960507,30.32440056417489,18.053596614950635,7.193229901269394
Super Smash Bros. Melee,GC,2001.0,Fighting,Nintendo,4.41,1.04,1.39,0.22,7.07,92.0,38.0,9.1,568.0,HAL Labs,T,AAA,2000s,True,hit,62.37623762376238,14.71004243281471,19.660537482319658,3.1117397454031117
Mario Kart: Double Dash!!,GC,2003.0,Racing,Nintendo,4.12,1.77,0.87,0.19,6.95,64.0,,,,,,AAA,2000s,True,hit,59.280575539568346,25.467625899280577,12.51798561151079,2.7338129496402876
Need for Speed Underground 2,PS2,2004.0,Racing,Electronic Arts,2.71,3.02,0.08,1.09,6.9,82.0,39.0,8.6,132.0,EA Canada,E,AAA,2000s,True,hit,39.27536231884058,43.768115942028984,1.1594202898550725,15.797101449275363
